Index,Group,Meter,Strat level,Pulses + Prime Factors,Metrical Levels,Indispensability,Weights R=0.5,Weights R=0.3
10,m,6/8,16n,12 2 3 2,0 3 2 3 2 3 1 3 2 3 2 3,11 0 6 2 8 4 10 1 7 3 9 5,1. 0.145833 0.3125 0.1875 0.4375 0.229167 0.75 0.166667 0.375 0.208333 0.5 0.25,1. 0.0375 0.1425 0.0585 0.2475 0.0795 0.65 0.048 0.195 0.069 0.3 0.09
11,c,7/8,16n,14 7 2,0 2 1 2 1 2 1 2 1 2 1 2 1 2,13 0 7 4 11 1 8 5 12 2 9 3 10 6,1. 0.285714 0.571429 0.428571 0.857143 0.321429 0.642857 0.464286 0.928571 0.357143 0.714286 0.392857 0.785714 0.5,1. 0.12 0.4 0.24 0.8 0.15 0.5 0.27 0.9 0.18 0.6 0.21 0.7 0.3
12,m,9/8,16n,18 3 3 2,0 3 2 3 2 3 1 3 2 3 2 3 1 3 2 3 2 3,17 0 9 3 12 6 15 1 10 4 13 7 16 2 11 5 14 8,1. 0.138889 0.291667 0.180556 0.416667 0.222222 0.666667 0.152778 0.333333 0.194444 0.458333 0.236111 0.833333 0.166667 0.375 0.208333 0.5 0.25,1. 0.034 0.125 0.055 0.23 0.076 0.533333 0.041 0.16 0.062 0.265 0.083 0.766667 0.048 0.195 0.069 0.3 0.09
13,m,12/8,16n,24 2 2 3 2,0 4 3 4 3 4 2 4 3 4 3 4 1 4 3 4 3 4 2 4 3 4 3 4,23 0 12 4 16 8 20 2 14 6 18 10 22 1 13 5 17 9 21 3 15 7 19 11,1. 0.067708 0.140625 0.088542 0.203125 0.109375 0.375 0.078125 0.171875 0.098958 0.234375 0.119792 0.75 0.072917 0.15625 0.09375 0.21875 0.114583 0.5 0.083333 0.1875 0.104167 0.25 0.125,1. 0.009675 0.034875 0.015975 0.066375 0.022275 0.195 0.012825 0.050625 0.019125 0.082125 0.025425 0.65 0.01125 0.04275 0.01755 0.07425 0.02385 0.3 0.0144 0.0585 0.0207 0.09 0.027
14,b,c2,16n,16,,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
16,r,c4,16n,16,,1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0
18,b,c8,16n,16,,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
15,g,c3,16n,15,,1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 ,1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 ,1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 
17,r,c6,16n,18,,1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0,1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0,1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
19,g,c12,16n,24,,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
