"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","B00[1]","B00[2]","B00[3]","B00[4]","B00[5]","B00[6]","B00[7]","B00[8]","P00[1]","P00[2]","P00[3]","P00[4]","P00[5]","P00[6]","P00[7]","P00[8]","M00[1]","M00[2]","M00[3]","M00[4]","M00[5]","M00[6]","M00[7]","M00[8]","Q01","Q02","Q04","Q05","interviewtime","groupTime2","B00Time","P00Time","M00Time","groupTime3","Q01Time","Q02Time","Q04Time","Q05Time"
"19","2025-04-09 20:25:45","7","en","366224500","2025-04-09 20:17:54","2025-04-09 20:25:45","79.169.186.125","Lapwing Your browser does not support the audio element.","Hoatzin Your browser does not support the audio element.","Bustard Your browser does not support the audio element.","Kea Your browser does not support the audio element.","Toucanet Your browser does not support the audio element.","Jacana Your browser does not support the audio element.","Sunbittern Your browser does not support the audio element.","Ptarmigan Your browser does not support the audio element.","Agave Your browser does not support the audio element.","Wisteria Your browser does not support the audio element.","Fern Your browser does not support the audio element.","Begonia Your browser does not support the audio element.","Zinnia Your browser does not support the audio element.","Cattail Your browser does not support the audio element.","Goldenrod Your browser does not support the audio element.","Maranta Your browser does not support the audio element.","Solmera Your browser does not support the audio element.","Kelthorn Your browser does not support the audio element.","Varneth Your browser does not support the audio element.","Nuvira Your browser does not support the audio element.","Zantria Your browser does not support the audio element.","Brimholt Your browser does not support the audio element.","Elyndar Your browser does not support the audio element.","Cavros Your browser does not support the audio element.","Yes","> 20","30  40","","474.05",,"170.32","141.1","131.32",,"4.99","9.82","7.52","8.98"
"24","2025-04-10 11:34:02","7","en","316711645","2025-04-10 11:17:58","2025-04-10 11:34:02","2003:c3:772c:ddf5:f4a5:aea3:ec25:4165","Hoatzin Your browser does not support the audio element.","Lapwing Your browser does not support the audio element.","Bustard Your browser does not support the audio element.","Sunbittern Your browser does not support the audio element.","Kea Your browser does not support the audio element.","Ptarmigan Your browser does not support the audio element.","Jacana Your browser does not support the audio element.","Toucanet Your browser does not support the audio element.","Agave Your browser does not support the audio element.","Wisteria Your browser does not support the audio element.","Zinnia Your browser does not support the audio element.","Begonia Your browser does not support the audio element.","Fern Your browser does not support the audio element.","Maranta Your browser does not support the audio element.","Cattail Your browser does not support the audio element.","Goldenrod Your browser does not support the audio element.","Kelthorn Your browser does not support the audio element.","Solmera Your browser does not support the audio element.","Nuvira Your browser does not support the audio element.","Varneth Your browser does not support the audio element.","Zantria Your browser does not support the audio element.","Brimholt Your browser does not support the audio element.","Elyndar Your browser does not support the audio element.","Cavros Your browser does not support the audio element.","Yes","10  15","40  50","","965.04",,"392.27","218.02","302.36",,"12","19.21","13.14","8.04"
"25","2025-04-10 11:27:20","7","en","1101407920","2025-04-10 11:19:43","2025-04-10 11:27:20","193.136.56.234","Hoatzin Your browser does not support the audio element.","Lapwing Your browser does not support the audio element.","Kea Your browser does not support the audio element.","Bustard Your browser does not support the audio element.","Ptarmigan Your browser does not support the audio element.","Sunbittern Your browser does not support the audio element.","Jacana Your browser does not support the audio element.","Toucanet Your browser does not support the audio element.","Agave Your browser does not support the audio element.","Wisteria Your browser does not support the audio element.","Cattail Your browser does not support the audio element.","Zinnia Your browser does not support the audio element.","Fern Your browser does not support the audio element.","Goldenrod Your browser does not support the audio element.","Begonia Your browser does not support the audio element.","Maranta Your browser does not support the audio element.","Varneth Your browser does not support the audio element.","Solmera Your browser does not support the audio element.","Nuvira Your browser does not support the audio element.","Kelthorn Your browser does not support the audio element.","Brimholt Your browser does not support the audio element.","Zantria Your browser does not support the audio element.","Elyndar Your browser does not support the audio element.","Cavros Your browser does not support the audio element.","Yes","> 20","30  40","","460.64",,"172.87","162.29","112.29",,"3.32","3.78","3.6","2.49"
"26","2025-04-10 19:13:21","7","en","864327554","2025-04-10 18:56:22","2025-04-10 19:13:21","2a09:bac2:2906:248c::3a4:45","Lapwing Your browser does not support the audio element.","Hoatzin Your browser does not support the audio element.","Jacana Your browser does not support the audio element.","Bustard Your browser does not support the audio element.","Kea Your browser does not support the audio element.","Ptarmigan Your browser does not support the audio element.","Sunbittern Your browser does not support the audio element.","Toucanet Your browser does not support the audio element.","Agave Your browser does not support the audio element.","Wisteria Your browser does not support the audio element.","Begonia Your browser does not support the audio element.","Goldenrod Your browser does not support the audio element.","Zinnia Your browser does not support the audio element.","Fern Your browser does not support the audio element.","Maranta Your browser does not support the audio element.","Cattail Your browser does not support the audio element.","Solmera Your browser does not support the audio element.","Nuvira Your browser does not support the audio element.","Kelthorn Your browser does not support the audio element.","Cavros Your browser does not support the audio element.","Varneth Your browser does not support the audio element.","Zantria Your browser does not support the audio element.","Elyndar Your browser does not support the audio element.","Brimholt Your browser does not support the audio element.","Yes","> 20","40  50","","1021.73",,"687.81","179.16","121.01",,"5.65","7.47","17.56","3.07"
"29","2025-04-11 11:24:07","7","en","993272464","2025-04-11 10:07:52","2025-04-11 11:24:07","2001:8a0:d7d9:8e00:8d0d:f319:cdce:ed77","Kea Your browser does not support the audio element.","Hoatzin Your browser does not support the audio element.","Lapwing Your browser does not support the audio element.","Toucanet Your browser does not support the audio element.","Bustard Your browser does not support the audio element.","Jacana Your browser does not support the audio element.","Ptarmigan Your browser does not support the audio element.","Sunbittern Your browser does not support the audio element.","Agave Your browser does not support the audio element.","Wisteria Your browser does not support the audio element.","Goldenrod Your browser does not support the audio element.","Maranta Your browser does not support the audio element.","Fern Your browser does not support the audio element.","Begonia Your browser does not support the audio element.","Zinnia Your browser does not support the audio element.","Cattail Your browser does not support the audio element.","Solmera Your browser does not support the audio element.","Nuvira Your browser does not support the audio element.","Varneth Your browser does not support the audio element.","Cavros Your browser does not support the audio element.","Brimholt Your browser does not support the audio element.","Kelthorn Your browser does not support the audio element.","Zantria Your browser does not support the audio element.","Elyndar Your browser does not support the audio element.","Yes","> 20","30  40","","1720.92",,"116.43","1496.71","79.99",,"4.34","7.57","4.62","11.26"
"36","2025-04-12 17:40:54","7","en","1188187830","2025-04-12 17:29:53","2025-04-12 17:40:54","2001:818:e63f:8800:25b0:bf0a:a17d:20f2","Lapwing Your browser does not support the audio element.","Ptarmigan Your browser does not support the audio element.","Hoatzin Your browser does not support the audio element.","Sunbittern Your browser does not support the audio element.","Toucanet Your browser does not support the audio element.","Jacana Your browser does not support the audio element.","Kea Your browser does not support the audio element.","Bustard Your browser does not support the audio element.","Fern Your browser does not support the audio element.","Agave Your browser does not support the audio element.","Begonia Your browser does not support the audio element.","Cattail Your browser does not support the audio element.","Wisteria Your browser does not support the audio element.","Goldenrod Your browser does not support the audio element.","Zinnia Your browser does not support the audio element.","Maranta Your browser does not support the audio element.","Zantria Your browser does not support the audio element.","Elyndar Your browser does not support the audio element.","Brimholt Your browser does not support the audio element.","Nuvira Your browser does not support the audio element.","Kelthorn Your browser does not support the audio element.","Varneth Your browser does not support the audio element.","Solmera Your browser does not support the audio element.","Cavros Your browser does not support the audio element.","Yes","5  10","30  40","Os sons são muitos similares. Graves mais profundos ou agudos mais cristalinos ajudariam melhor na escolha. ","663.92",,"90.98","265.49","87.08",,"7.71","17.65","13.44","181.57"
"39","2025-04-14 08:45:32","7","en","2100062190","2025-04-14 08:29:47","2025-04-14 08:45:32","85.88.155.195","Hoatzin Your browser does not support the audio element.","Lapwing Your browser does not support the audio element.","Kea Your browser does not support the audio element.","Bustard Your browser does not support the audio element.","Toucanet Your browser does not support the audio element.","Jacana Your browser does not support the audio element.","Ptarmigan Your browser does not support the audio element.","Sunbittern Your browser does not support the audio element.","Agave Your browser does not support the audio element.","Wisteria Your browser does not support the audio element.","Zinnia Your browser does not support the audio element.","Cattail Your browser does not support the audio element.","Fern Your browser does not support the audio element.","Goldenrod Your browser does not support the audio element.","Maranta Your browser does not support the audio element.","Begonia Your browser does not support the audio element.","Solmera Your browser does not support the audio element.","Nuvira Your browser does not support the audio element.","Varneth Your browser does not support the audio element.","Kelthorn Your browser does not support the audio element.","Brimholt Your browser does not support the audio element.","Zantria Your browser does not support the audio element.","Elyndar Your browser does not support the audio element.","Cavros Your browser does not support the audio element.","Yes","< 5","30  40","Boa sorte, Diogo. Grande abraço","946.86",,"304.06","361.07","232.75",,"10.09","6.21","4.49","28.19"
"40","2025-04-14 10:07:20","7","en","1948863767","2025-04-14 09:57:04","2025-04-14 10:07:20","2a01:11:f30:1460:3c9c:6903:8006:d02f","Hoatzin Your browser does not support the audio element.","Lapwing Your browser does not support the audio element.","Kea Your browser does not support the audio element.","Ptarmigan Your browser does not support the audio element.","Toucanet Your browser does not support the audio element.","Bustard Your browser does not support the audio element.","Sunbittern Your browser does not support the audio element.","Jacana Your browser does not support the audio element.","Agave Your browser does not support the audio element.","Wisteria Your browser does not support the audio element.","Zinnia Your browser does not support the audio element.","Fern Your browser does not support the audio element.","Maranta Your browser does not support the audio element.","Begonia Your browser does not support the audio element.","Goldenrod Your browser does not support the audio element.","Cattail Your browser does not support the audio element.","Solmera Your browser does not support the audio element.","Varneth Your browser does not support the audio element.","Nuvira Your browser does not support the audio element.","Zantria Your browser does not support the audio element.","Cavros Your browser does not support the audio element.","Kelthorn Your browser does not support the audio element.","Elyndar Your browser does not support the audio element.","Brimholt Your browser does not support the audio element.","Yes","> 20","30  40","","618.72",,"130.21","105","354.88",,"8.52","8.37","3.95","7.79"
"41","2025-04-14 13:40:41","7","en","1824187709","2025-04-14 10:21:24","2025-04-14 13:40:41","2001:8a0:dfc4:7a00:6d8b:3fbf:9651:63ae","Hoatzin Your browser does not support the audio element.","Lapwing Your browser does not support the audio element.","Kea Your browser does not support the audio element.","Jacana Your browser does not support the audio element.","Toucanet Your browser does not support the audio element.","Ptarmigan Your browser does not support the audio element.","Bustard Your browser does not support the audio element.","Sunbittern Your browser does not support the audio element.","Wisteria Your browser does not support the audio element.","Agave Your browser does not support the audio element.","Zinnia Your browser does not support the audio element.","Cattail Your browser does not support the audio element.","Fern Your browser does not support the audio element.","Begonia Your browser does not support the audio element.","Goldenrod Your browser does not support the audio element.","Maranta Your browser does not support the audio element.","Solmera Your browser does not support the audio element.","Nuvira Your browser does not support the audio element.","Varneth Your browser does not support the audio element.","Kelthorn Your browser does not support the audio element.","Zantria Your browser does not support the audio element.","Brimholt Your browser does not support the audio element.","Elyndar Your browser does not support the audio element.","Cavros Your browser does not support the audio element.","Yes","5  10","> 70","The tasks seemed to get progressively easier, maybe this was just because I got used to what I was supposed to be doing. Sometimes it was difficult to decide on the top and bottom 1-3 positions for the tracks. Of the ones that sounded the nicest, it was especially tough to assign an order for them. I assigned first position to the one which I felt was closest to the base rhythm.

Sometimes I wished the loop was longer for the ones that felt more difficult to decide about. However, the longer I listened, the more pleasant all of them began to sound. I took long breaks between the three tasks (an hour or so). 

I shifted my responses around a lot: it would be interesting to track these changes of mind along time to understand HOW my choices changed. The Solmera-Cavros set felt very easy to order. ","11962.3",,"6612.06","801.62","3574.57",,"4.88","15.49","210.85","742.81"
"44","2025-04-14 16:46:32","7","en","973469235","2025-04-14 16:38:16","2025-04-14 16:46:32","2001:8a0:57c2:e700:3d15:314e:44b5:7f3f","Hoatzin Your browser does not support the audio element.","Lapwing Your browser does not support the audio element.","Kea Your browser does not support the audio element.","Ptarmigan Your browser does not support the audio element.","Toucanet Your browser does not support the audio element.","Bustard Your browser does not support the audio element.","Jacana Your browser does not support the audio element.","Sunbittern Your browser does not support the audio element.","Agave Your browser does not support the audio element.","Wisteria Your browser does not support the audio element.","Goldenrod Your browser does not support the audio element.","Begonia Your browser does not support the audio element.","Zinnia Your browser does not support the audio element.","Cattail Your browser does not support the audio element.","Maranta Your browser does not support the audio element.","Fern Your browser does not support the audio element.","Solmera Your browser does not support the audio element.","Varneth Your browser does not support the audio element.","Nuvira Your browser does not support the audio element.","Kelthorn Your browser does not support the audio element.","Zantria Your browser does not support the audio element.","Brimholt Your browser does not support the audio element.","Cavros Your browser does not support the audio element.","Elyndar Your browser does not support the audio element.","Yes","> 20","30  40","","498.65",,"90.97","297.19","92.42",,"3.88","6.16","4.55","3.48"
"51","2025-04-15 17:11:43","7","en","1997536230","2025-04-15 17:04:26","2025-04-15 17:11:43","185.142.131.226","Hoatzin Your browser does not support the audio element.","Sunbittern Your browser does not support the audio element.","Ptarmigan Your browser does not support the audio element.","Lapwing Your browser does not support the audio element.","Toucanet Your browser does not support the audio element.","Kea Your browser does not support the audio element.","Bustard Your browser does not support the audio element.","Jacana Your browser does not support the audio element.","Agave Your browser does not support the audio element.","Wisteria Your browser does not support the audio element.","Fern Your browser does not support the audio element.","Zinnia Your browser does not support the audio element.","Begonia Your browser does not support the audio element.","Goldenrod Your browser does not support the audio element.","Maranta Your browser does not support the audio element.","Cattail Your browser does not support the audio element.","Solmera Your browser does not support the audio element.","Brimholt Your browser does not support the audio element.","Kelthorn Your browser does not support the audio element.","Nuvira Your browser does not support the audio element.","Varneth Your browser does not support the audio element.","Elyndar Your browser does not support the audio element.","Zantria Your browser does not support the audio element.","Cavros Your browser does not support the audio element.","Yes","> 20","30  40","Os primeiros segundos definiram muito a minha escolha, ritmos mais precisos a começar grave e depois agudo foram os de maior afinidade.","440.35",,"87.14","159.69","104.22",,"5.53","12.51","7.53","63.73"
