Index,Group,Meter,Strat level,#Pulses + Prime Factors,Metrical Levels,Indispensability,Weights R=0.5,Weights R=0.3
11,2,13/4,16n,52 13 2 2,0 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3,51 0 26 13 39 7 33 20 46 3 29 16 42 10 36 23 49 1 27 14 40 8 34 21 47 4 30 17 43 11 37 24 50 2 28 15 41 9 35 22 48 5 31 18 44 6 32 19 45 12 38 25,1. 0.129808 0.269231 0.192308 0.538462 0.163462 0.403846 0.225962 0.807692 0.144231 0.326923 0.206731 0.653846 0.177885 0.461538 0.240385 0.923077 0.134615 0.288462 0.197115 0.576923 0.168269 0.423077 0.230769 0.846154 0.149038 0.346154 0.211538 0.692308 0.182692 0.480769 0.245192 0.961538 0.139423 0.307692 0.201923 0.615385 0.173077 0.442308 0.235577 0.884615 0.153846 0.365385 0.216346 0.730769 0.158654 0.384615 0.221154 0.769231 0.1875 0.5 0.25,1. 0.029423 0.106154 0.060923 0.353846 0.046385 0.219231 0.077885 0.730769 0.036692 0.154615 0.068192 0.515385 0.053654 0.267692 0.085154 0.892308 0.031846 0.122308 0.063346 0.407692 0.048808 0.235385 0.080308 0.784615 0.039115 0.170769 0.070615 0.569231 0.056077 0.283846 0.087577 0.946154 0.034269 0.138462 0.065769 0.461538 0.051231 0.251538 0.082731 0.838462 0.041538 0.186923 0.073038 0.623077 0.043962 0.203077 0.075462 0.676923 0.0585 0.3 0.09
12,2,14/4,16n,56 7 2 2 2,0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4,55 0 28 14 42 7 35 21 49 4 32 18 46 11 39 25 53 1 29 15 43 8 36 22 50 5 33 19 47 12 40 26 54 2 30 16 44 9 37 23 51 3 31 17 45 10 38 24 52 6 34 20 48 13 41 27,1. 0.064732 0.133929 0.095982 0.285714 0.080357 0.196429 0.111607 0.571429 0.073661 0.169643 0.104911 0.428571 0.089286 0.232143 0.120536 0.857143 0.066964 0.142857 0.098214 0.321429 0.082589 0.205357 0.113839 0.642857 0.075893 0.178571 0.107143 0.464286 0.091518 0.241071 0.122768 0.928571 0.069196 0.151786 0.100446 0.357143 0.084821 0.214286 0.116071 0.714286 0.071429 0.160714 0.102679 0.392857 0.087054 0.223214 0.118304 0.785714 0.078125 0.1875 0.109375 0.5 0.09375 0.25 0.125,1. 0.008775 0.0315 0.018225 0.12 0.0135 0.063 0.02295 0.4 0.011475 0.0495 0.020925 0.24 0.0162 0.081 0.02565 0.8 0.00945 0.036 0.0189 0.15 0.014175 0.0675 0.023625 0.5 0.01215 0.054 0.0216 0.27 0.016875 0.0855 0.026325 0.9 0.010125 0.0405 0.019575 0.18 0.01485 0.072 0.0243 0.6 0.0108 0.045 0.02025 0.21 0.015525 0.0765 0.024975 0.7 0.012825 0.0585 0.022275 0.3 0.01755 0.09 0.027
13,2,15/4,16n,60 5 3 2 2,0 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4,59 0 30 15 45 5 35 20 50 10 40 25 55 1 31 16 46 6 36 21 51 11 41 26 56 3 33 18 48 8 38 23 53 13 43 28 58 2 32 17 47 7 37 22 52 12 42 27 57 4 34 19 49 9 39 24 54 14 44 29,1. 0.064583 0.133333 0.095833 0.275 0.075 0.175 0.10625 0.4 0.085417 0.216667 0.116667 0.6 0.066667 0.141667 0.097917 0.3 0.077083 0.183333 0.108333 0.425 0.0875 0.225 0.11875 0.7 0.070833 0.158333 0.102083 0.35 0.08125 0.2 0.1125 0.475 0.091667 0.241667 0.122917 0.9 0.06875 0.15 0.1 0.325 0.079167 0.191667 0.110417 0.45 0.089583 0.233333 0.120833 0.8 0.072917 0.166667 0.104167 0.375 0.083333 0.208333 0.114583 0.5 0.09375 0.25 0.125,1. 0.00873 0.0312 0.01818 0.111 0.01188 0.0522 0.02133 0.216 0.01503 0.0732 0.02448 0.44 0.00936 0.0354 0.01881 0.132 0.01251 0.0564 0.02196 0.237 0.01566 0.0774 0.02511 0.58 0.01062 0.0438 0.02007 0.174 0.01377 0.0648 0.02322 0.279 0.01692 0.0858 0.02637 0.86 0.00999 0.0396 0.01944 0.153 0.01314 0.0606 0.02259 0.258 0.01629 0.0816 0.02574 0.72 0.01125 0.048 0.0207 0.195 0.0144 0.069 0.02385 0.3 0.01755 0.09 0.027
14,0,4/8,16n,8 2 2 2,0 3 2 3 1 3 2 3,7 0 4 2 6 1 5 3,1. 0.15625 0.375 0.21875 0.75 0.1875 0.5 0.25,1. 0.04275 0.195 0.07425 0.65 0.0585 0.3 0.09
15,2,5/8,16n,10 5 2,0 2 1 2 1 2 1 2 1 2,9 0 5 1 6 3 8 2 7 4,1. 0.3 0.6 0.35 0.7 0.45 0.9 0.4 0.8 0.5,1. 0.132 0.44 0.174 0.58 0.258 0.86 0.216 0.72 0.3
16,1,6/8,16n,12 2 3 2,0 3 2 3 2 3 1 3 2 3 2 3,11 0 6 2 8 4 10 1 7 3 9 5,1. 0.145833 0.3125 0.1875 0.4375 0.229167 0.75 0.166667 0.375 0.208333 0.5 0.25,1. 0.0375 0.1425 0.0585 0.2475 0.0795 0.65 0.048 0.195 0.069 0.3 0.09
17,2,7/8,16n,14 7 2,0 2 1 2 1 2 1 2 1 2 1 2 1 2,13 0 7 4 11 1 8 5 12 2 9 3 10 6,1. 0.285714 0.571429 0.428571 0.857143 0.321429 0.642857 0.464286 0.928571 0.357143 0.714286 0.392857 0.785714 0.5,1. 0.12 0.4 0.24 0.8 0.15 0.5 0.27 0.9 0.18 0.6 0.21 0.7 0.3
18,0,8/8,16n,16 2 2 2 2,0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4,15 0 8 4 12 2 10 6 14 1 9 5 13 3 11 7,1. 0.070312 0.15625 0.101562 0.375 0.085938 0.21875 0.117188 0.75 0.078125 0.1875 0.109375 0.5 0.09375 0.25 0.125,1. 0.010463 0.04275 0.019913 0.195 0.015188 0.07425 0.024638 0.65 0.012825 0.0585 0.022275 0.3 0.01755 0.09 0.027
19,2,9/8,16n,18 3 3 2,0 3 2 3 2 3 1 3 2 3 2 3 1 3 2 3 2 3,17 0 9 3 12 6 15 1 10 4 13 7 16 2 11 5 14 8,1. 0.138889 0.291667 0.180556 0.416667 0.222222 0.666667 0.152778 0.333333 0.194444 0.458333 0.236111 0.833333 0.166667 0.375 0.208333 0.5 0.25,1. 0.034 0.125 0.055 0.23 0.076 0.533333 0.041 0.16 0.062 0.265 0.083 0.766667 0.048 0.195 0.069 0.3 0.09
20,2,10/8,16n,20 5 2 2,0 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3,19 0 10 5 15 1 11 6 16 3 13 8 18 2 12 7 17 4 14 9,1. 0.1375 0.3 0.2 0.6 0.15 0.35 0.2125 0.7 0.175 0.45 0.2375 0.9 0.1625 0.4 0.225 0.8 0.1875 0.5 0.25,1. 0.0333 0.132 0.0648 0.44 0.0396 0.174 0.0711 0.58 0.0522 0.258 0.0837 0.86 0.0459 0.216 0.0774 0.72 0.0585 0.3 0.09
21,2,11/8,16n,22 11 2,0 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2,21 0 11 6 17 3 14 9 20 1 12 7 18 2 13 8 19 4 15 5 16 10,1. 0.272727 0.545455 0.409091 0.818182 0.340909 0.681818 0.477273 0.954545 0.295455 0.590909 0.431818 0.863636 0.318182 0.636364 0.454545 0.909091 0.363636 0.727273 0.386364 0.772727 0.5,1. 0.109091 0.363636 0.223636 0.745455 0.166364 0.554545 0.280909 0.936364 0.128182 0.427273 0.242727 0.809091 0.147273 0.490909 0.261818 0.872727 0.185455 0.618182 0.204545 0.681818 0.3
22,1,12/8,16n,24 2 2 3 2,0 4 3 4 3 4 2 4 3 4 3 4 1 4 3 4 3 4 2 4 3 4 3 4,23 0 12 4 16 8 20 2 14 6 18 10 22 1 13 5 17 9 21 3 15 7 19 11,1. 0.067708 0.140625 0.088542 0.203125 0.109375 0.375 0.078125 0.171875 0.098958 0.234375 0.119792 0.75 0.072917 0.15625 0.09375 0.21875 0.114583 0.5 0.083333 0.1875 0.104167 0.25 0.125,1. 0.009675 0.034875 0.015975 0.066375 0.022275 0.195 0.012825 0.050625 0.019125 0.082125 0.025425 0.65 0.01125 0.04275 0.01755 0.07425 0.02385 0.3 0.0144 0.0585 0.0207 0.09 0.027
23,2,13/8,16n,26 13 2,0 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2,25 0 13 7 20 3 16 10 23 1 14 8 21 4 17 11 24 2 15 9 22 5 18 6 19 12,1. 0.269231 0.538462 0.403846 0.807692 0.326923 0.653846 0.461538 0.923077 0.288462 0.576923 0.423077 0.846154 0.346154 0.692308 0.480769 0.961538 0.307692 0.615385 0.442308 0.884615 0.365385 0.730769 0.384615 0.769231 0.5,1. 0.106154 0.353846 0.219231 0.730769 0.154615 0.515385 0.267692 0.892308 0.122308 0.407692 0.235385 0.784615 0.170769 0.569231 0.283846 0.946154 0.138462 0.461538 0.251538 0.838462 0.186923 0.623077 0.203077 0.676923 0.3
24,2,14/8,16n,28 7 2 2,0 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3,27 0 14 7 21 4 18 11 25 1 15 8 22 5 19 12 26 2 16 9 23 3 17 10 24 6 20 13,1. 0.133929 0.285714 0.196429 0.571429 0.169643 0.428571 0.232143 0.857143 0.142857 0.321429 0.205357 0.642857 0.178571 0.464286 0.241071 0.928571 0.151786 0.357143 0.214286 0.714286 0.160714 0.392857 0.223214 0.785714 0.1875 0.5 0.25,1. 0.0315 0.12 0.063 0.4 0.0495 0.24 0.081 0.8 0.036 0.15 0.0675 0.5 0.054 0.27 0.0855 0.9 0.0405 0.18 0.072 0.6 0.045 0.21 0.0765 0.7 0.0585 0.3 0.09
25,2,15/8,16n,30 5 3 2,0 3 2 3 2 3 1 3 2 3 2 3 1 3 2 3 2 3 1 3 2 3 2 3 1 3 2 3 2 3,29 0 15 5 20 10 25 1 16 6 21 11 26 3 18 8 23 13 28 2 17 7 22 12 27 4 19 9 24 14,1. 0.133333 0.275 0.175 0.4 0.216667 0.6 0.141667 0.3 0.183333 0.425 0.225 0.7 0.158333 0.35 0.2 0.475 0.241667 0.9 0.15 0.325 0.191667 0.45 0.233333 0.8 0.166667 0.375 0.208333 0.5 0.25,1. 0.0312 0.111 0.0522 0.216 0.0732 0.44 0.0354 0.132 0.0564 0.237 0.0774 0.58 0.0438 0.174 0.0648 0.279 0.0858 0.86 0.0396 0.153 0.0606 0.258 0.0816 0.72 0.048 0.195 0.069 0.3 0.09
26,9,c1,16n,16,,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
27,9,c2,16n,16,,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
28,9,c3,16n,15,,1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 ,1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 ,1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 
29,9,c4,16n,16,,1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0
30,9,c5,16n,15,,1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 ,1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 ,1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 
31,9,c6,16n,18,,1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0,1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0,1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
32,9,c7,16n,14,,1 0 0 0 0 0 0 1 0 0 0 0 0 0 ,1 0 0 0 0 0 0 1 0 0 0 0 0 0 ,1 0 0 0 0 0 0 1 0 0 0 0 0 0 
33,9,c8,16n,16,,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
34,9,c9,16n,18,,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 ,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 ,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
35,9,c10,16n,20,,1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
36,9,c11,16n,22,,1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
37,9,c12,16n,24,,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
38,9,c13,16n,26,,1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
39,9,c14,16n,28,,1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
40,9,c15,16n,30,,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
41,9,c16,16n,32,,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
