Index,Group,Meter,Strat level,Beats + Length,Pulses + Prime Factors,Metrical Levels,Indispensability,Weights R=0.5,Weights R=0.3
10,m,6/8,16n,2-24,12 2 3 2,0 3 2 3 2 3 1 3 2 3 2 3,11 0 0 0 0 0 0 0 6 0 0 0 2 0 0 0 8 0 0 0 4 0 0 0 10 0 0 0 1 0 0 0 7 0 0 0 3 0 0 0 9 0 0 0 5 0 0 0,1. 0 0 0 0.145833 0 0 0 0.3125 0 0 0 0.1875 0 0 0 0.4375 0 0 0 0.229167 0 0 0 0.75 0 0 0 0.166667 0 0 0 0.375 0 0 0 0.208333 0 0 0 0.5 0 0 0 0.25 0 0 0,1. 0 0 0 0.0375 0 0 0 0.1425 0 0 0 0.0585 0 0 0 0.2475 0 0 0 0.0795 0 0 0 0.65 0 0 0 0.048 0 0 0 0.195 0 0 0 0.069 0 0 0 0.3 0 0 0 0.09 0 0 0
11,c,7/8,16n,7-24,14 7 2,0 2 1 2 1 2 1 2 1 2 1 2 1 2,13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0,1. 0 0 0 0 0 0 0 0 0 0 0 0.285714 0 0 0 0 0 0 0 0 0 0 0 0.571429 0 0 0 0 0 0 0 0 0 0 0 0.428571 0 0 0 0 0 0 0 0 0 0 0 0.857143 0 0 0 0 0 0 0 0 0 0 0 0.321429 0 0 0 0 0 0 0 0 0 0 0 0.642857 0 0 0 0 0 0 0 0 0 0 0 0.464286 0 0 0 0 0 0 0 0 0 0 0 0.928571 0 0 0 0 0 0 0 0 0 0 0 0.357143 0 0 0 0 0 0 0 0 0 0 0 0.714286 0 0 0 0 0 0 0 0 0 0 0 0.392857 0 0 0 0 0 0 0 0 0 0 0 0.785714 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0,1. 0 0 0 0 0 0 0 0 0 0 0 0.12 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0.24 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0.15 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.27 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0.18 0 0 0 0 0 0 0 0 0 0 0 0.6 0 0 0 0 0 0 0 0 0 0 0 0.21 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0.3 0 0 0 0 0 0 0 0 0 0 0
12,m,9/8,16n,3-24,18 3 3 2,0 3 2 3 2 3 1 3 2 3 2 3 1 3 2 3 2 3,17 0 0 0 0 0 0 0 9 0 0 0 3 0 0 0 12 0 0 0 6 0 0 0 15 0 0 0 1 0 0 0 10 0 0 0 4 0 0 0 13 0 0 0 7 0 0 0 16 0 0 0 2 0 0 0 11 0 0 0 5 0 0 0 14 0 0 0 8 0 0 0,1. 0 0 0 0.138889 0 0 0 0.291667 0 0 0 0.180556 0 0 0 0.416667 0 0 0 0.222222 0 0 0 0.666667 0 0 0 0.152778 0 0 0 0.333333 0 0 0 0.194444 0 0 0 0.458333 0 0 0 0.236111 0 0 0 0.833333 0 0 0 0.166667 0 0 0 0.375 0 0 0 0.208333 0 0 0 0.5 0 0 0 0.25 0 0 0,1. 0 0 0 0.034 0 0 0 0.125 0 0 0 0.055 0 0 0 0.23 0 0 0 0.076 0 0 0 0.533333 0 0 0 0.041 0 0 0 0.16 0 0 0 0.062 0 0 0 0.265 0 0 0 0.083 0 0 0 0.766667 0 0 0 0.048 0 0 0 0.195 0 0 0 0.069 0 0 0 0.3 0 0 0 0.09 0 0 0
13,m,12/8,16n,4-24,24 2 2 3 2,0 4 3 4 3 4 2 4 3 4 3 4 1 4 3 4 3 4 2 4 3 4 3 4,23 0 0 0 0 0 0 0 12 0 0 0 4 0 0 0 16 0 0 0 8 0 0 0 20 0 0 0 2 0 0 0 14 0 0 0 6 0 0 0 18 0 0 0 10 0 0 0 22 0 0 0 1 0 0 0 13 0 0 0 5 0 0 0 17 0 0 0 9 0 0 0 21 0 0 0 3 0 0 0 15 0 0 0 7 0 0 0 19 0 0 0 11 0 0 0,1. 0 0 0 0.067708 0 0 0 0.140625 0 0 0 0.088542 0 0 0 0.203125 0 0 0 0.109375 0 0 0 0.375 0 0 0 0.078125 0 0 0 0.171875 0 0 0 0.098958 0 0 0 0.234375 0 0 0 0.119792 0 0 0 0.75 0 0 0 0.072917 0 0 0 0.15625 0 0 0 0.09375 0 0 0 0.21875 0 0 0 0.114583 0 0 0 0.5 0 0 0 0.083333 0 0 0 0.1875 0 0 0 0.104167 0 0 0 0.25 0 0 0 0.125 0 0 0,1. 0 0 0 0.009675 0 0 0 0.034875 0 0 0 0.015975 0 0 0 0.066375 0 0 0 0.022275 0 0 0 0.195 0 0 0 0.012825 0 0 0 0.050625 0 0 0 0.019125 0 0 0 0.082125 0 0 0 0.025425 0 0 0 0.65 0 0 0 0.01125 0 0 0 0.04275 0 0 0 0.01755 0 0 0 0.07425 0 0 0 0.02385 0 0 0 0.3 0 0 0 0.0144 0 0 0 0.0585 0 0 0 0.0207 0 0 0 0.09 0 0 0 0.027 0 0 0
15,b,bc3,16n,1-24,24,,1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0,1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0,1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0
16,b,bc6,16n,1-24,24,,1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0,1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0,1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
14,r,bc12,16n,1-24,24,,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
19,g,bc2,16n,1-24,24,,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
17,g,bc4,16n,1-24,24,,1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0
18,r,bc8,16n,1-24,24,,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
